SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
137,0.933747838376885,0.875728905398398,133,137,110,27,23
138,0.870433156513978,0.770590214765585,158,139,112,27,46
139,0.895261711639235,0.810383528000685,145,143,108,35,37
140,0.89388096093879,0.808123655205726,120,117,97,20,23
141,0.948497563311006,0.902040290365534,41,40,36,4,5
142,0.966683157946345,0.9355147604341,42,49,40,9,2
143,0.950155345551384,0.905043752449653,44,42,39,3,5
144,0.961332347674076,0.925543743969818,42,44,35,9,7
145,0.976719375452266,0.954498064383807,39,40,36,4,3
146,0.979014673152706,0.958892010892859,41,42,39,3,2
147,0.93402148072279,0.876210414967935,46,44,39,5,7
148,0.974292434072239,0.949873498486856,41,41,38,3,3
149,0.963895392459073,0.930307022518475,42,52,38,14,4
150,0.970029748864239,0.941803656750839,49,58,44,14,5
151,0.959021526784629,0.921269316763494,48,58,44,14,4
152,0.967846887371983,0.937697009804775,51,53,46,7,5
153,0.910104778030988,0.835038781422297,78,81,69,12,9
154,0.951747604321765,0.907937447360634,80,76,66,10,14
155,0.953257478005865,0.91068955160991,69,72,63,9,6
156,0.959545310264561,0.922236518063606,72,72,65,7,7
157,0.895167182770259,0.810228632613214,61,71,58,13,3
158,0.896390126206385,0.812234601639689,57,74,53,21,4
159,0.959694589237207,0.922512350035286,56,64,55,9,1
160,0.944312155785722,0.894499411886805,54,69,46,23,8
161,0.955049030005384,0.913965398788333,41,48,40,8,1
162,0.961238113615879,0.925369063127548,43,52,42,10,1
163,0.97355735968297,0.948477120340863,46,55,45,10,1
164,0.979417367890366,0.959664937532616,45,45,41,4,4
165,0.860557768924303,0.755244755244755,80,66,57,9,23
166,0.79041617553722,0.653461264570294,57,51,41,10,16
167,0.853058448259687,0.743768021103863,85,87,66,21,19
168,0.856989160979526,0.749764684396117,65,68,55,13,10
169,0.838312766664112,0.721633794887133,113,106,85,21,28
170,0.88747574832483,0.797713620164705,146,151,117,34,29
171,0.874233934512345,0.77656802893028,113,103,84,19,29
172,0.889935345253709,0.80169685742954,160,153,122,31,38
173,0.951567283122929,0.907609298913647,84,84,74,10,10
174,0.927356533391455,0.864552446605157,72,86,62,24,10
175,0.961578051387624,0.925999351874797,76,84,72,12,4
176,0.940317246611424,0.887357318597991,80,91,71,20,9
177,0.932128365916636,0.872884283246978,140,139,123,16,17
178,0.958280295837875,0.9199022462656,90,92,86,6,4
179,0.897241074063145,0.813633018931032,177,165,149,16,28
180,0.939401357284598,0.885727474513347,191,173,162,11,29
181,0.899242802651894,0.816931113253956,150,144,115,29,35
182,0.943402918390412,0.892869131299569,168,152,142,10,26
183,0.920508154737835,0.852723583580459,112,103,101,2,11
184,0.953044960295546,0.910301707477889,129,133,124,9,5
185,0.910042872544022,0.834934558084971,211,135,127,8,84
186,0.94262125453377,0.891469833846661,113,113,102,11,11
187,0.956997628871754,0.917541182419884,104,106,97,9,7
188,0.902803122167151,0.822826915029454,136,144,106,38,30
189,0.951084265044193,0.906730858684529,149,141,135,6,14
190,0.824868965365891,0.701937861442596,13,33,13,20,0
191,0.827661401831018,0.705991769889434,25,40,21,19,4
192,0.950307511556547,0.905319912278042,109,119,97,22,12
193,0.93867802532474,0.884442278331187,140,140,122,18,18
194,0.953501060057143,0.911134281807497,113,108,99,9,14
195,0.888226302008445,0.798927248965367,89,78,70,8,19
196,0.953358608576447,0.910874169881404,104,104,98,6,6
197,0.901050114395119,0.819919203048249,133,130,119,11,14
198,0.878336738071054,0.783066333616528,229,181,166,15,63
199,0.950825983901435,0.906261467889908,101,108,94,14,7
200,0.876020624882009,0.779392081629654,156,150,138,12,18
201,0.839856027251984,0.723923967180237,126,126,98,28,28
202,0.814668706223331,0.687291992121171,125,138,107,31,18
