SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
114,0.935601711721115,0.878995881545401,77,86,67,19,10
115,0.72898426415929,0.573544641189753,297,219,154,65,143
116,0.845793020474516,0.732791462430973,125,93,69,24,56
117,0.961733910271449,0.926288472469413,69,70,61,9,8
118,0.951050599711196,0.90666966342642,106,108,94,14,12
119,0.928399711633245,0.866367545540917,48,54,41,13,7
120,0.898077631509702,0.815009892883946,225,188,174,14,51
121,0.959574293303152,0.922290065620943,44,43,38,5,6
122,0.899399111410052,0.817189156154808,49,58,43,15,6
123,0.940327391006399,0.887375386535142,54,67,46,21,8
124,0.951790447341375,0.908015429669862,86,89,76,13,10
125,0.851629034987122,0.741597498485667,96,117,84,33,12
126,0.941160912290696,0.888861134062218,63,71,59,12,4
127,0.923960488449872,0.8586678077637,168,160,145,15,23
128,0.966183134003495,0.934578614242459,60,62,56,6,4
129,0.966998967927603,0.936106487703714,84,78,75,3,9
130,0.92899142104997,0.86739867383762,83,95,81,14,2
131,0.893909429589614,0.808170192842302,160,169,130,39,30
132,0.951066708561242,0.906698944845884,39,47,38,9,1
133,0.940449131739249,0.887592243006693,148,141,124,17,24
134,0.585580700861688,0.414007855533669,21,55,17,38,4
135,0.956595386603501,0.916801952302649,122,111,109,2,13
136,0.949942093116512,0.90465686405418,71,77,63,14,8
137,0.860205940430892,0.754702951124422,94,118,80,38,14
138,0.944296553662213,0.894471413291259,55,63,48,15,7
139,0.90360340447693,0.824157433693815,65,79,60,19,5
140,0.892513275369084,0.805890721323568,32,37,28,9,4
141,0.96300048504369,0.928641210680086,60,63,56,7,4
142,0.970982967755215,0.943602425741224,64,65,62,3,2
143,0.949320855881758,0.903530693643352,70,77,62,15,8
144,0.881108472484527,0.787483371548134,97,89,69,20,28
145,0.894792295580732,0.809614601855224,156,154,139,15,17
146,0.824817091341534,0.701862735804342,125,148,112,36,13
147,0.902883456271391,0.822960387784231,93,96,81,15,12
148,0.936852719312801,0.881206899863616,148,154,129,25,19
149,0.380758650978942,0.235146324054247,14,24,11,13,3
150,0.966836026327047,0.93580114189415,72,75,68,7,4
151,0.963108929850632,0.92884292051227,74,76,67,9,7
152,0.949423652210609,0.903716949470997,89,93,83,10,6
153,0.92802338326635,0.865712338104976,140,156,129,27,11
154,0.877555584647946,0.781825427295392,131,139,107,32,24
155,0.892261596018231,0.805480421019073,45,84,40,44,5
156,0.94239589541603,0.891066790807076,41,50,39,11,2
157,0.720341506998908,0.562916989914663,96,98,66,32,30
158,0.659379720963299,0.491846745326793,20,31,18,13,2
159,0.936484603293089,0.880555755180261,158,151,132,19,26
160,0.893740206623642,0.807893599654295,191,161,137,24,54
161,0.970007364912009,0.941761457186674,67,68,64,4,3
162,0.923096166925958,0.857176043557169,83,88,76,12,7
163,0.839171820504213,0.722907864683913,84,137,78,59,6
164,0.924759968343559,0.860049794573717,68,76,65,11,3
165,0.899397844513481,0.817187064399219,19,21,17,4,2
166,0.939505576022271,0.885912791977113,154,148,134,14,20
167,0.96635037350549,0.934891619690072,65,67,62,5,3
168,0.969238362310712,0.940312800623338,57,52,51,1,6
169,0.959895131828481,0.922883029589079,42,46,39,7,3
170,0.80793755381939,0.677764454712953,99,133,66,67,33
171,0.943860579352018,0.893689375568354,125,122,111,11,14
172,0.968061799316838,0.93810055551385,62,59,55,4,7
173,0.95286917494827,0.909981018753027,103,98,92,6,11
174,0.940018458855989,0.886825310034599,44,55,41,14,3
175,0.981025740848883,0.962758118802875,48,48,47,1,1
176,0.934598564848844,0.877226680961102,73,82,66,16,7
177,0.943562786728959,0.893155575055342,90,88,80,8,10
178,0.854763221617502,0.746363754423558,177,147,123,24,54
179,0.719682698952111,0.562112765611368,37,69,34,35,3
180,0.966983250978631,0.936077030594813,75,76,72,4,3
181,0.959350934186441,0.921877475992774,56,61,54,7,2
182,0.778516934339592,0.63735384977988,26,34,21,13,5
183,0.83204085492718,0.712388663967611,45,61,36,25,9
184,0.954364275416262,0.912712001874448,58,58,50,8,8
185,0.955139328880728,0.914130807371252,91,101,87,14,4
186,0.876303151551788,0.77983946716762,120,120,96,24,24
187,0.949615075086931,0.90406388416658,66,80,62,18,4
188,0.976034868107013,0.953191507900894,56,56,55,1,1
189,0.862817604788136,0.75873281930942,61,89,51,38,10
190,0.969671008368788,0.941127558522458,66,64,61,3,5
191,0.962384952984306,0.927497105744796,75,68,64,4,11
192,0.94455688141228,0.894938689520459,130,123,114,9,16
193,0.945085915187618,0.895888991145382,17,24,17,7,0
194,0.880890056622779,0.787134509737668,158,178,132,46,26
195,0.943388614019069,0.892843505697462,131,124,108,16,23
196,0.973607198285082,0.948571732633315,47,42,40,2,7
197,0.787224449173279,0.649109762013792,31,46,30,16,1
198,0.963774335765284,0.930081515088763,56,54,53,1,3
199,0.960408033152694,0.92383171838587,59,63,56,7,3
200,0.949994089852428,0.904751183466112,127,129,118,11,9
201,0.606957494838797,0.435706371191136,53,161,51,110,2
202,0.941519538472793,0.889501103416062,177,167,154,13,23
203,0.882183030377074,0.789201680016238,148,110,105,5,43
204,0.934336743745934,0.876765468136942,131,131,111,20,20
205,0.959017546327227,0.921261970308568,54,51,49,2,5
206,0.948492270013776,0.902030715481476,144,137,134,3,10
207,0.858440732276229,0.751989630803778,183,183,143,40,40
208,0.95986654891571,0.922830188679245,105,100,94,6,11
209,0.956429022011578,0.916496378478426,94,101,91,10,3
210,0.901675308310438,0.820955146627345,116,127,90,37,26
211,0.874244056001988,0.776584001766134,131,132,100,32,31
212,0.970742813267664,0.943148928937342,47,48,45,3,2
213,0.954965140380629,0.9138117562207,85,85,79,6,6
214,0.969610883658293,0.941014290893133,51,48,46,2,5
215,0.938416688570814,0.883978373122167,59,64,55,9,4
216,0.977457618890196,0.955909150512984,45,48,43,5,2
217,0.873027710181333,0.774666527356946,46,49,38,11,8
218,0.954875090982514,0.913646859570294,43,50,40,10,3
219,0.729000990150607,0.57356534859692,85,70,57,13,28
220,0.884720403862606,0.793272294164355,39,42,32,10,7
221,0.901612112357527,0.820850377631807,74,71,61,10,13
222,0.933057616465211,0.874515466687135,175,168,143,25,32
223,0.902443131994169,0.822229041884484,98,111,81,30,17
224,0.962120122343775,0.927005275905788,109,108,104,4,5
225,0.846217752127763,0.733429339624809,160,179,123,56,37
226,0.961620678067359,0.926078416389862,61,60,51,9,10
227,0.905116267204102,0.8266779751059,65,76,62,14,3
228,0.979657638516215,0.960126400212957,34,36,34,2,0
229,0.958638063560198,0.920561843116315,53,52,46,6,7
230,0.946246672034162,0.897977398430422,147,144,131,13,16
231,0.703396388320653,0.542491461526644,98,155,86,69,12
232,0.922240228123748,0.855701105375493,137,135,127,8,10
233,0.938070586589248,0.883364350532782,119,114,102,12,17
234,0.934792254241146,0.877568021790154,150,134,128,6,22
235,0.899243791475011,0.816932745425979,150,154,119,35,31
236,0.941359951683312,0.889216266832281,73,83,58,25,15
237,0.970246379723973,0.942212156985569,69,71,66,5,3
238,0.911343697915829,0.837127104459978,134,136,114,22,20
239,0.95933078488805,0.921840264857696,53,56,47,9,6
240,0.958380155284063,0.920086306098964,77,78,72,6,5
241,0.952174344425167,0.908714478748669,122,107,104,3,18
242,0.973749272263515,0.948841492576801,74,76,74,2,0
243,0.934849228075172,0.877668450998549,144,143,126,17,18
244,0.934782843853102,0.877551434896521,28,28,25,3,3
245,0.797841147091993,0.663673644428958,44,92,39,53,5
246,0.925138843414282,0.860705438787064,84,92,78,14,6
